movieId,title,genres
1,b'Toy Story (1995)',Adventure|Animation|Children|Comedy|Fantasy
2,b'Grumpier Old Men (1995)',Comedy|Romance
3,b'Heat (1995)',Action|Crime|Thriller
4,b'Seven (a.k.a. Se7en) (1995)',Mystery|Thriller
5,"b'Usual Suspects, The (1995)'",Crime|Mystery|Thriller
6,b'From Dusk Till Dawn (1996)',Action|Comedy|Horror|Thriller
7,b'Bottle Rocket (1996)',Adventure|Comedy|Crime|Romance
8,b'Braveheart (1995)',Action|Drama|War
9,b'Rob Roy (1995)',Action|Drama|Romance|War
10,b'Canadian Bacon (1995)',Comedy|War
11,b'Desperado (1995)',Action|Romance|Western
12,b'Billy Madison (1995)',Comedy
13,b'Clerks (1994)',Comedy
14,b'Dumb & Dumber (Dumb and Dumber) (1994)',Adventure|Comedy
15,b'Ed Wood (1994)',Comedy|Drama
16,b'Star Wars: Episode IV - A New Hope (1977)',Action|Adventure|Sci-Fi
17,b'Pulp Fiction (1994)',Comedy|Crime|Drama|Thriller
18,b'Stargate (1994)',Action|Adventure|Sci-Fi
19,b'Tommy Boy (1995)',Comedy
20,b'Clear and Present Danger (1994)',Action|Crime|Drama|Thriller
21,b'Forrest Gump (1994)',Comedy|Drama|Romance|War
22,"b'Jungle Book, The (1994)'",Adventure|Children|Romance
23,"b'Mask, The (1994)'",Action|Comedy|Crime|Fantasy
24,b'Blown Away (1994)',Action|Thriller
25,b'Dazed and Confused (1993)',Comedy
26,"b'Fugitive, The (1993)'",Thriller
27,b'Jurassic Park (1993)',Action|Adventure|Sci-Fi|Thriller
28,b'Mrs. Doubtfire (1993)',Comedy|Drama
29,"b""Schindler's List (1993)""",Drama|War
30,b'So I Married an Axe Murderer (1993)',Comedy|Romance|Thriller
31,"b'Three Musketeers, The (1993)'",Action|Adventure|Comedy|Romance
32,b'Tombstone (1993)',Action|Drama|Western
33,b'Dances with Wolves (1990)',Adventure|Drama|Western
34,b'Batman (1989)',Action|Crime|Thriller
35,"b'Silence of the Lambs, The (1991)'",Crime|Horror|Thriller
36,b'Pinocchio (1940)',Animation|Children|Fantasy|Musical
37,b'Fargo (1996)',Comedy|Crime|Drama|Thriller
38,b'Mission: Impossible (1996)',Action|Adventure|Mystery|Thriller
39,b'James and the Giant Peach (1996)',Adventure|Animation|Children|Fantasy|Musical
40,b'Space Jam (1996)',Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi
41,"b'Rock, The (1996)'",Action|Adventure|Thriller
42,b'Twister (1996)',Action|Adventure|Romance|Thriller
43,b'Independence Day (a.k.a. ID4) (1996)',Action|Adventure|Sci-Fi|Thriller
44,"b""She's the One (1996)""",Comedy|Romance
45,"b'Wizard of Oz, The (1939)'",Adventure|Children|Fantasy|Musical
46,b'Citizen Kane (1941)',Drama|Mystery
47,"b'Adventures of Robin Hood, The (1938)'",Action|Adventure|Romance
48,"b'Ghost and Mrs. Muir, The (1947)'",Drama|Fantasy|Romance
49,b'Mr. Smith Goes to Washington (1939)',Drama
50,b'Escape to Witch Mountain (1975)',Adventure|Children|Fantasy
51,b'Winnie the Pooh and the Blustery Day (1968)',Animation|Children|Musical
52,"b'Three Caballeros, The (1945)'",Animation|Children|Musical
53,"b'Sword in the Stone, The (1963)'",Animation|Children|Fantasy|Musical
54,b'Dumbo (1941)',Animation|Children|Drama|Musical
55,"b""Pete's Dragon (1977)""",Adventure|Animation|Children|Musical
56,b'Bedknobs and Broomsticks (1971)',Adventure|Children|Musical
57,b'Alice in Wonderland (1951)',Adventure|Animation|Children|Fantasy|Musical
58,b'That Thing You Do! (1996)',Comedy|Drama
59,"b'Ghost and the Darkness, The (1996)'",Action|Adventure
60,b'Swingers (1996)',Comedy|Drama
61,b'Willy Wonka & the Chocolate Factory (1971)',Children|Comedy|Fantasy|Musical
62,"b""Monty Python's Life of Brian (1979)""",Comedy
63,b'Reservoir Dogs (1992)',Crime|Mystery|Thriller
64,b'Platoon (1986)',Drama|War
65,b'Basic Instinct (1992)',Crime|Mystery|Thriller
66,b'E.T. the Extra-Terrestrial (1982)',Children|Drama|Sci-Fi
67,"b'Abyss, The (1989)'",Action|Adventure|Sci-Fi|Thriller
68,b'Monty Python and the Holy Grail (1975)',Adventure|Comedy|Fantasy
69,b'Star Wars: Episode V - The Empire Strikes Back (1980)',Action|Adventure|Sci-Fi
70,"b'Princess Bride, The (1987)'",Action|Adventure|Comedy|Fantasy|Romance
71,b'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)',Action|Adventure
72,"b'Clockwork Orange, A (1971)'",Crime|Drama|Sci-Fi|Thriller
73,b'Apocalypse Now (1979)',Action|Drama|War
74,b'Star Wars: Episode VI - Return of the Jedi (1983)',Action|Adventure|Sci-Fi
75,b'Goodfellas (1990)',Crime|Drama
76,b'Alien (1979)',Horror|Sci-Fi
77,b'Psycho (1960)',Crime|Horror
78,"b'Blues Brothers, The (1980)'",Action|Comedy|Musical
79,b'Full Metal Jacket (1987)',Drama|War
80,b'Henry V (1989)',Action|Drama|Romance|War
81,"b'Quiet Man, The (1952)'",Drama|Romance
82,"b'Terminator, The (1984)'",Action|Sci-Fi|Thriller
83,b'Duck Soup (1933)',Comedy|Musical|War
84,"b'Shining, The (1980)'",Horror
85,b'Groundhog Day (1993)',Comedy|Fantasy|Romance
86,b'Back to the Future (1985)',Adventure|Comedy|Sci-Fi
87,b'Highlander (1986)',Action|Adventure|Fantasy
88,b'Young Frankenstein (1974)',Comedy|Fantasy
89,b'Fantasia (1940)',Animation|Children|Fantasy|Musical
90,b'Indiana Jones and the Last Crusade (1989)',Action|Adventure
91,b'Pink Floyd: The Wall (1982)',Drama|Musical
92,"b'Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)'",Horror
93,b'Batman Returns (1992)',Action|Crime
94,b'Sneakers (1992)',Action|Comedy|Crime|Drama|Sci-Fi
95,"b'Last of the Mohicans, The (1992)'",Action|Romance|War|Western
96,"b""McHale's Navy (1997)""",Comedy|War
97,b'Best Men (1997)',Action|Comedy|Crime|Drama
98,b'Grosse Pointe Blank (1997)',Comedy|Crime|Romance
99,b'Austin Powers: International Man of Mystery (1997)',Action|Adventure|Comedy
100,b'Con Air (1997)',Action|Adventure|Thriller
101,b'Face/Off (1997)',Action|Crime|Drama|Thriller
102,b'Men in Black (a.k.a. MIB) (1997)',Action|Comedy|Sci-Fi
103,b'Conan the Barbarian (1982)',Action|Adventure|Fantasy
104,b'L.A. Confidential (1997)',Crime|Film-Noir|Mystery|Thriller
105,b'Kiss the Girls (1997)',Crime|Drama|Mystery|Thriller
106,"b'Game, The (1997)'",Drama|Mystery|Thriller
107,b'I Know What You Did Last Summer (1997)',Horror|Mystery|Thriller
108,b'Starship Troopers (1997)',Action|Sci-Fi
109,"b'Big Lebowski, The (1998)'",Comedy|Crime
110,"b'Wedding Singer, The (1998)'",Comedy|Romance
111,b'Welcome to Woop-Woop (1997)',Comedy
112,"b'Newton Boys, The (1998)'",Crime|Drama
113,b'Wild Things (1998)',Crime|Drama|Mystery|Thriller
114,b'Small Soldiers (1998)',Animation|Children|Fantasy|War
115,b'All Quiet on the Western Front (1930)',Action|Drama|War
116,b'Rocky (1976)',Drama
117,b'Labyrinth (1986)',Adventure|Fantasy|Musical
118,b'Lethal Weapon (1987)',Action|Comedy|Crime|Drama
119,"b'Goonies, The (1985)'",Action|Adventure|Children|Comedy|Fantasy
120,b'Back to the Future Part III (1990)',Adventure|Comedy|Sci-Fi|Western
121,b'Bambi (1942)',Animation|Children|Drama
122,b'Saving Private Ryan (1998)',Action|Drama|War
123,"b'Black Cauldron, The (1985)'",Adventure|Animation|Children|Fantasy
124,b'Flight of the Navigator (1986)',Adventure|Children|Sci-Fi
125,"b'Great Mouse Detective, The (1986)'",Action|Animation|Children|Crime
126,"b'Honey, I Shrunk the Kids (1989)'",Adventure|Children|Comedy|Fantasy|Sci-Fi
127,"b'Negotiator, The (1998)'",Action|Crime|Drama|Mystery|Thriller
128,"b'Jungle Book, The (1967)'",Animation|Children|Comedy|Musical
129,"b'Rescuers, The (1977)'",Adventure|Animation|Children|Crime|Drama
130,b'Return to Oz (1985)',Adventure|Children|Fantasy
131,"b'Rocketeer, The (1991)'",Action|Adventure|Sci-Fi
132,b'Sleeping Beauty (1959)',Animation|Children|Musical
133,b'Song of the South (1946)',Adventure|Animation|Children|Musical
134,b'Tron (1982)',Action|Adventure|Sci-Fi
135,b'Indiana Jones and the Temple of Doom (1984)',Action|Adventure|Fantasy
136,"b'Lord of the Rings, The (1978)'",Adventure|Animation|Children|Fantasy
137,"b""Charlotte's Web (1973)""",Animation|Children
138,"b'Secret of NIMH, The (1982)'",Adventure|Animation|Children|Drama
139,"b'American Tail, An (1986)'",Adventure|Animation|Children|Comedy
140,b'Legend (1985)',Adventure|Fantasy|Romance
141,"b'NeverEnding Story, The (1984)'",Adventure|Children|Fantasy
142,b'Beetlejuice (1988)',Comedy|Fantasy
143,b'Willow (1988)',Action|Adventure|Fantasy
144,b'Toys (1992)',Comedy|Fantasy
145,"b'Few Good Men, A (1992)'",Crime|Drama|Thriller
146,b'Rush Hour (1998)',Action|Comedy|Crime|Thriller
147,b'Edward Scissorhands (1990)',Drama|Fantasy|Romance
148,b'American History X (1998)',Crime|Drama
149,b'I Still Know What You Did Last Summer (1998)',Horror|Mystery|Thriller
150,b'Enemy of the State (1998)',Action|Thriller
151,b'King Kong (1933)',Action|Adventure|Fantasy|Horror
152,b'Very Bad Things (1998)',Comedy|Crime
153,b'Psycho (1998)',Crime|Horror|Thriller
154,b'Rushmore (1998)',Comedy|Drama
155,b'Romancing the Stone (1984)',Action|Adventure|Comedy|Romance
156,b'Young Sherlock Holmes (1985)',Action|Adventure|Children|Fantasy|Mystery|Thriller
157,"b'Thin Red Line, The (1998)'",Action|Drama|War
158,b'Howard the Duck (1986)',Adventure|Comedy|Sci-Fi
159,"b'Texas Chainsaw Massacre, The (1974)'",Horror
160,b'Crocodile Dundee (1986)',Adventure|Comedy
161,b'\xc2\xa1Three Amigos! (1986)',Comedy|Western
162,b'20 Dates (1998)',Comedy|Romance
